Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packaging,Retail,Total_emissions,Serving Size
Wheat,0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,16
Rye,0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,35
Bread,0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,50
Maize,0.3,0,0.5,0.1,0.1,0.1,0,1.1,164
Corn,0.3,0,0.5,0.1,0.1,0.1,0,1.1,164
Barley,0,0,0.2,0.1,0,0.5,0.3,1.1,157
Oatmeal,0,0,1.4,0,0.1,0.1,0,1.6,50
Oats,0,0,1.4,0,0.1,0.1,0,1.6,48
Rice,0,0,3.6,0.1,0.1,0.1,0.1,4,164
Potatoes,0,0,0.2,0,0.1,0,0,0.3,148
Cassava,0.6,0,0.2,0,0.1,0,0,0.9,103
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0,2.6,55
Beet Sugar,0,0,0.5,0.2,0.6,0.1,0,1.4,55
Beans,0,0,1.1,0,0.1,0.4,0,1.6,86
Lentils,0,0,1.1,0,0.1,0.4,0,1.6,86
Peas,0,0,0.7,0,0.1,0,0,0.8,86
Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,86
Soymilk,0.2,0,0.1,0.2,0.1,0.1,0.3,1,240
Tofu,1,0,0.5,0.8,0.2,0.2,0.3,3,150
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,6,15
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,15
Sunflower Oil,0.1,0,2.1,0.2,0.2,0.9,0,3.5,15
Rapeseed Oil,0.2,0,2.3,0.2,0.2,0.8,0,3.7,15
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6,15
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,1.4,150
Onions,0,0,0.2,0,0.1,0,0,0.3,110
Leeks,0,0,0.2,0,0.1,0,0,0.3,90
Carrots,0,0,0.2,0,0.1,0,0,0.3,61
Sweet Potatoes,0,0,0.2,0,0.1,0,0,0.3,130
Turnips,0,0,0.2,0,0.1,0,0,0.3,122
Pepper,0,0,0.2,0,0.1,0,0,0.3,75
Beets,0,0,0.2,0,0.1,0,0,0.3,136
Garlic,0,0,0.2,0,0.1,0,0,0.3,42
Radishes,0,0,0.2,0,0.1,0,0,0.3,40
Turmeric,0,0,0.2,0,0.1,0,0,0.3,60
Yams,0,0,0.2,0,0.1,0,0,0.3,130
Bok Choy,0,0,0.3,0,0.1,0,0,0.4,85
Arugula,0,0,0.3,0,0.1,0,0,0.4,85
Broccoli,0,0,0.3,0,0.1,0,0,0.4,110
Brussels sprouts,0,0,0.3,0,0.1,0,0,0.4,104
Cabbage,0,0,0.3,0,0.1,0,0,0.4,119
Lettuce,0,0,0.3,0,0.1,0,0,0.4,150
Cauliflower,0,0,0.3,0,0.1,0,0,0.4,85
Collard,0,0,0.3,0,0.1,0,0,0.4,118
Kale,0,0,0.3,0,0.1,0,0,0.4,124
Kohlrabi,0,0,0.3,0,0.1,0,0,0.4,85
Napa cabbage,0,0,0.3,0,0.1,0,0,0.4,119
Rape,0,0,0.3,0,0.1,0,0,0.4,76
Rutabaga,0,0,0.3,0,0.1,0,0,0.4,150
Oranges,-0.1,0,0.3,0,0.1,0,0,0.3,154
Limes,-0.1,0,0.3,0,0.1,0,0,0.3,67
Lemons,-0.1,0,0.3,0,0.1,0,0,0.3,100
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.8,118
Apples,0,0,0.2,0,0.1,0,0,0.3,132
Pears,0,0,0.2,0,0.1,0,0,0.3,166
Grapes,0,0,0.7,0,0.2,0.2,0,1.1,138
Strawberries,0,0,0.7,0,0.2,0.2,0,1.1,144
Blackberries,0,0,0.7,0,0.2,0.2,0,1.1,144
Blueberries,0,0,0.7,0,0.2,0.2,0,1.1,144
Raspberries,0,0,0.7,0,0.2,0.2,0,1.1,144
Kiwi,0,0,0.7,0,0.2,0.2,0,1.1,148
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.4,148
Pineapple,0.1,0,0.4,0,0.2,0,0,0.7,165
Mangoes,0.1,0,0.4,0,0.2,0,0,0.7,140
Watermelon,0.1,0,0.4,0,0.2,0,0,0.7,154
Honeydew,0.1,0,0.4,0,0.2,0,0,0.7,165
Cantaloupe,0.1,0,0.4,0,0.2,0,0,0.7,165
Avocado,0.1,0,0.4,0,0.2,0,0,0.7,201
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,237
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,25
Beef,16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,112
Lamb,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,112
Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,112
Pig,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,112
Bacon,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,38
Pork Chops,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,112
Pork Loin,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,112
Chicken,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,112
Turkey,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,112
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,240
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,30
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,38
Fish,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Salmon,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Tilapia,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Sea Bass,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Mahi mahi,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Catfish,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Crab,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Lobster,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Oysters,0.5,0.8,3.6,0,0.1,0.1,0,5.1,56
Clams,0.5,0.8,3.6,0,0.1,0.1,0,5.1,85
Cod,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Tuna,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Shrimps,0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,112
